GTDB R95 genus	Number of genomes	Number of NCBI genera	List of NCBI genera
g__UM-FILTER-40-11	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA2040	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SZUA-370	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA3495	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UM-FILTER-43-11-A	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA1162	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA3637	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__CG03	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA1732	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA1140	3	1	g__Sulfurovum(f__) 100.0%
g__UBA11872	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GCA-2770975	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA7359	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA7312	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__39-52-133	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA8106	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA4427	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA5123	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA2177	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA5209	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GCA-002401385	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA4246	3	1	g__Catabacter(f__Catabacteriaceae) 100.0%
g__UBA1930	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA3088	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA3305	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GCA-002782345	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA2201	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GCA-002780085	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA6770	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA1426	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA2991	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA9619	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA9148	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__HGW-2	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA8403	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA11963	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA1942	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA4054	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UM-FILTER-39-15	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA9664	3	1	g__Micavibrio(f__) 100.0%
g__UBA5861	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA6192	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA6022	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UM-FILTER-36-13	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA4738	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__WMHbinv6	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA2965	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA6620	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA4729	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA7879	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GCA-2690565	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GCA-2695345	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA2197	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UM-FILTER-65-15	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA4664	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GCA-2717485	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA2252	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA5278	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA1174	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA2966	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA1941	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA4716	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA5809	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA1724	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA5553	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA5550	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA7600	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GCA-002724975	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__1-14-0-20-42-23	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GCA-2725325	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GCA-2701885	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GCA-2716745	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA1847	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA1141	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA1712	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA9264	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA1412	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__AG-426-I14	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA1367	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA6544	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA3633	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA4971	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA11363	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Micavibrio_A	3	1	g__Micavibrio(f__) 100.0%
g__RUG572	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA3747	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GCA-2721815	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA7330	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA5603	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA4064	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA1146	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA12574	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA4085	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA4142	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA4763	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA5745	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GCA-2709665	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA5420	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA6595	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA2804	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA8919	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA6918	3	1	g__Thiobacillus 100.0%
g__1-14-0-10-45-20	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA2242	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA2330	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA2767	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA7057	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA967	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA5951	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GCA-002712045	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA2162	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GCA-002713455	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA6594	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA2169	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GCA-002708715	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Robiginitomaculum_B	3	1	g__Robiginitomaculum(f__Hyphomonadaceae) 100.0%
g__UBA5200	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA12578	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA8229	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GCA-2748055	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA1267	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA6894	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA4416	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA2466	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA9554	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA3631	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA1429	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA2376	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GCA-2693335	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GCA-002697625	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA11869	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA8444	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA3789	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA7160	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA4719	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA9002	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B210	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__RUG626	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__RUG705	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Fen-1231	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Palsa-1248	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__RUG163	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__AV133	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Bog-1524	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Palsa-892	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Bog-532	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SZUA-259	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Bog-793	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Palsa-601	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__BMS3Bbin11	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Fen-1255	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Fen-1262	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Palsa-1032	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__RUG131	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Gp1-AA133	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Bog-950	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Fen-1359	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Palsa-948	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__ZC4RG25	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__QAMH01	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SZUA-381	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__RUG369	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Fen-1362	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__MarineAlpha5-Bin3	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__QAMX01	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Fen-1364	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PALSA-1081	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Palsa-881	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Fen-999	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Fen-668	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__MarineAlpha9-Bin7	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__BMS3Abin12	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__QAMI01	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__MarineAlpha5-Bin7	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1071	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS124	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS2069	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1241	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1491	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1907	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS687	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS363	3	1	g__Ruminococcus 100.0%
g__UMGS1668	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA11940	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1490	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1004	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SMWN01	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PXFI01	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__T3Sed10-66	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B68-G9	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PWMP01	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__CSSED10-109M	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__QWOQ01	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SMWT01	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SLKG01	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PWKH01	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PUPC01	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PWVN01	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SKPH01	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SLSP01	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PWKZ01	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SKXZ01	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SLLW01	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__T3Sed10-241	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B111-G9	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SKGQ01	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SKLX01	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__CSSed11-197	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B4-G1	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SLPV01	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SKKN01	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA11096	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA8154	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__CSBr16-58	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SLDG01	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PWIP01	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__QNYF01	3	1	g__Desulfobulbus 100.0%
g__SKNC01	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B32-G15	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__B26-G2	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SURF-43	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SXNL01	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SXSK01	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SYKL01	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__F1-60-MAGs120	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SYGM01	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__F1-60-MAGs149	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__F1-60-MAGs163	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__CF-82	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__F1-120-MAGs023	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SXXZ01	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__AC-32	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__F1-20-MAGs101	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SXMI01	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__AC-37	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__VBGR01	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__F1-120-MAGs170	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__AC-21	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__AC-67	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__CR02bin9	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SMXJ01	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__N075bin58	3	1	g__Caldithrix(f__Calditrichaceae) 100.0%
g__REAM01	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SFTJ01	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SFTH01	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SCVA01	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SCRA01	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SKUL01	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SKYL01	3	1	g__Halorhodospira(f__Ectothiorhodospiraceae) 100.0%
g__SLSJ01	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SLQM01	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SLRQ01	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SLMP01	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__CSBR16-87	3	1	g__Candidatus Izimaplasma(f__) 100.0%
g__SLPH01	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SLCJ01	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SLAK01	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SLOV01	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SKQS01	3	1	g__Wenzhouxiangella 100.0%
g__SLKC01	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SKOX01	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SKLG01	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SLDV01	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SKLV01	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SKLC01	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SKYF01	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SKPS01	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__LSCE01	3	1	g__(f__Bradyrhizobiaceae) 100.0%
g__MVQK01	3	1	g__Pelotomaculum(f__Peptococcaceae) 100.0%
g__RHOV01	3	1	g__Lactobacillus 100.0%
g__SD129	3	1	g__Pseudomonas 100.0%
g__Quasibacillus	3	2	g__Quasibacillus(f__Bacillaceae) 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__Leptonema	3	2	g__Leptonema(f__Leptospiraceae) 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__Polycyclovorans	3	2	g__Polycyclovorans(f__Sinobacteraceae) 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__Sagittula	3	2	g__Sagittula 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__Segetibacter	3	2	g__Segetibacter 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__Leadbetterella	3	2	g__Leadbetterella(f__Cytophagaceae) 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__Desulfohalovibrio	3	2	g__Desulfohalovibrio 66.67%, g__Desulfovibrio 33.33%
g__Kosmotoga_B	3	2	g__Kosmotoga 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__Robbsia	3	2	g__Robbsia 66.67%, g__Burkholderia 33.33%
g__Allofrancisella	3	2	g__Allofrancisella 66.67%, g__Francisella 33.33%
g__V9D3004	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Lachnoclostridium 33.33%
g__Tepidicaulis	3	2	g__Tepidicaulis(f__Rhodobiaceae) 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__Arcobacter	3	2	g__Arcobacter(f__Campylobacteraceae) 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__Congregibacter	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Congregibacter 33.33%
g__Oscillochloris	3	2	g__Oscillochloris(f__Oscillochloridaceae) 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__Croceivirga	3	2	g__Croceivirga 66.67%, g__Flavobacterium 33.33%
g__Rikenella	3	2	g__Rikenella 66.67%, g__Millionella 33.33%
g__Pleurocapsa	3	2	g__Pleurocapsa(f__Hyellaceae) 66.67%, g__Chondrocystis(f__Chroococcaceae) 33.33%
g__Thioglobus_A	3	2	g__Candidatus Thioglobus(f__) 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__Rubritepida	3	2	g__Rubritepida 66.67%, g__Roseococcus 33.33%
g__Ardenticatena	3	2	g__Ardenticatena 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__Inquilinus	3	2	g__Inquilinus(f__Rhodospirillaceae) 66.67%, g__Mycobacterium(f__Mycobacteriaceae) 33.33%
g__Phocea	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Phocea 33.33%
g__Phycicoccus	3	2	g__Tetrasphaera(f__Intrasporangiaceae) 66.67%, g__Phycicoccus(f__Intrasporangiaceae) 33.33%
g__Kamptonema	3	2	g__Kamptonema(f__Microcoleaceae) 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__Lyngbya	3	2	g__Lyngbya(f__Oscillatoriaceae) 66.67%, g__Limnoraphis(f__Oscillatoriaceae) 33.33%
g__Bavariicoccus	3	2	g__Bavariicoccus(f__Enterococcaceae) 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__Pacificimonas	3	2	g__Pacificimonas 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__Wolinella	3	2	g__Wolinella 66.67%, g__Helicobacter 33.33%
g__Azovibrio	3	2	g__Azovibrio 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__Dubosiella	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Dubosiella 33.33%
g__Sphaerobacter	3	2	g__Sphaerobacter(f__Sphaerobacteraceae) 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__Acetoanaerobium	3	2	g__Acetoanaerobium(f__Peptostreptococcaceae) 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__Abiotrophia	3	2	g__Abiotrophia 66.67%, g__Facklamia 33.33%
g__Ga6A1	3	2	g__Bacteroides 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__Bittarella	3	2	g__Clostridium(f__Clostridiaceae) 66.67%, g__Bittarella 33.33%
g__Marimonas	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Marimonas 33.33%
g__BRH-c8a	3	2	g__Desulfotomaculum(f__Peptococcaceae) 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__CAG-452	3	2	g__Clostridium(f__Clostridiaceae) 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__CAG-303	3	2	g__Roseburia 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__BRHc4a	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Desulfotomaculum(f__Peptococcaceae) 33.33%
g__Bacteroides_F	3	2	g__Bacteroides(f__Bacteroidaceae) 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__Cognatishimia	3	2	g__Thalassobius 66.67%, g__Cognatishimia 33.33%
g__Falsirhodobacter	3	2	g__Falsirhodobacter 66.67%, g__Rhodobacter 33.33%
g__Geofilum	3	2	g__Geofilum 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__Fibromonas	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Candidatus Fibromonas(f__Fibromonadaceae) 33.33%
g__Geovibrio	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Geovibrio(f__Deferribacteraceae) 33.33%
g__Hydrogenedens	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Candidatus Hydrogenedens(f__) 33.33%
g__Rhodohalobacter	3	2	g__Rhodohalobacter 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__Caldimicrobium	3	2	g__Caldimicrobium 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__Defluviimonas_B	3	2	g__Defluviimonas 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__CAG-1031	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Prevotella(f__Prevotellaceae) 33.33%
g__Alteromonas_B	3	2	g__Alteromonas 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__PP17-6a	3	2	g__Sporanaerobacter(f__) 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__Anaerosporobacter	3	2	g__Anaerosporobacter 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__Baia	3	2	g__Thermoactinomyces 66.67%, g__Baia 33.33%
g__Massilioclostridium	3	2	g__Massilioclostridium(f__Clostridiaceae) 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__Flavisolibacter	3	2	g__Flavisolibacter 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__NS-102	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Terrimonas 33.33%
g__Paracaedimonas	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Candidatus Paracaedimonas 33.33%
g__Sulfuritalea	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Sulfuritalea(f__Sterolibacteriaceae) 33.33%
g__Paceibacter	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Candidatus Paceibacter(f__) 33.33%
g__Terrimicrobium	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Terrimicrobium(f__) 33.33%
g__Microscilla	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Microscilla 33.33%
g__UBA3382	3	2	g__Muribaculum(f__Muribaculaceae) 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__Ileibacterium	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Ileibacterium 33.33%
g__F0540	3	2	g__Clostridium 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__Motiliproteus	3	2	g__Motiliproteus(f__Oceanospirillaceae) 66.67%, g__Neptunomonas(f__Oceanospirillaceae) 33.33%
g__Oceanicoccus	3	2	g__Oceanicoccus 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__Natronoflexus	3	2	g__Alkalitalea 66.67%, g__Natronoflexus 33.33%
g__Crenothrix	3	2	g__Crenothrix(f__Crenotrichaceae) 66.67%, g__Methylobacter(f__Methylococcaceae) 33.33%
